Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,getReminderRecords,3,1,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,getReminderRecordMap,22,4,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,getRecurringTransactions,5,1,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,getRecurringTransaction,30,4,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,getRecurringTask,30,4,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,cloneTaskWithDueDateTime,9,1,2
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,cloneTransactionWithDateTime,17,2,3
BulletJournal,com.bulletjournal.repository.utils,DaoHelper,cloneTaskWithDateTime,21,3,3
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,createSampleProjectRelations,10,1,6
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testFindAllIds,36,2,0
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,testProjectRelationsProcessor,83,3,0
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessorProcessorTest,createProject,5,1,1
BulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,processRelations,3,1,3
BulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,processRelations,8,2,3
BulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,merge,7,2,3
BulletJournal,com.bulletjournal.hierarchy,TaskRelationsProcessor,processRelations,4,1,1
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,HierarchyItem,2,1,0
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,HierarchyItem,3,1,1
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,getId,3,1,0
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,setId,3,1,1
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,getS,3,1,0
BulletJournal,com.bulletjournal.hierarchy,HierarchyItem,setS,3,1,1
BulletJournal,com.bulletjournal.hierarchy,NoteRelationsProcessor,processRelations,3,1,3
BulletJournal,com.bulletjournal.hierarchy,NoteRelationsProcessor,processRelations,8,2,3
BulletJournal,com.bulletjournal.hierarchy,NoteRelationsProcessor,merge,7,2,3
BulletJournal,com.bulletjournal.hierarchy,NoteRelationsProcessor,processRelations,4,1,1
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,findAllIds,12,3,2
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,findAllIds,15,4,3
BulletJournal,com.bulletjournal.hierarchy,HierarchyProcessor,getItemsFromJson,3,1,1
BulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,processRelations,3,1,2
BulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,processRelations,8,2,2
BulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,processRelations,4,1,1
BulletJournal,com.bulletjournal.hierarchy,CategoryRelationsProcessor,merge,7,2,2
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,processRelations,3,1,3
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,processRelations,10,3,3
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,merge,21,4,3
BulletJournal,com.bulletjournal.hierarchy,ProjectRelationsProcessor,processRelations,4,1,1
BulletJournal,com.bulletjournal.util,DeltaContentTest,testAdjustDelta,6,1,0
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,assertDiffApplied,5,1,2
BulletJournal,com.bulletjournal.util,ContentDiffToolTest,testComputeDiffAndApply,10,1,0
BulletJournal,com.bulletjournal.util,DeltaConverterTest,testEmoji,7,1,0
BulletJournal,com.bulletjournal.util,DeltaConverterTest,testEmojiProvider,8,1,0
BulletJournal,com.bulletjournal.util,MapWithExpiration,Value,4,1,2
BulletJournal,com.bulletjournal.util,MapWithExpiration,get,10,3,1
BulletJournal,com.bulletjournal.util,MapWithExpiration,putIfAbsent,17,4,3
BulletJournal,com.bulletjournal.util,MapWithExpiration,setCurrentTime,3,1,1
BulletJournal,com.bulletjournal.util,MapWithExpiration,getCurrentTime,6,2,0
BulletJournal,com.bulletjournal.util,Value,Value,4,1,2
BulletJournal,com.bulletjournal.util,StringUtil,convertNumArray,6,2,1
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,BuJoRecurrenceRule,7,3,2
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,create,3,1,1
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,getIterator,3,1,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,getRrule,3,1,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,parseRRuel,8,2,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,getRFC5545DateTime,5,1,2
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,parseDTStart,9,2,1
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,parseDTUntil,7,2,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,getStart,3,1,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,setStart,3,1,1
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,getUtil,3,1,0
BulletJournal,com.bulletjournal.util,BuJoRecurrenceRule,setUtil,3,1,1
BulletJournal,com.bulletjournal.util,CustomThreadFactory,CustomThreadFactory,5,1,1
BulletJournal,com.bulletjournal.util,CustomThreadFactory,newThread,6,3,1
BulletJournal,com.bulletjournal.util,BookingUtil,calculateSlots,82,12,12
BulletJournal,com.bulletjournal.util,BookingUtil,isBetweenSlot,3,1,4
BulletJournal,com.bulletjournal.util,BookingUtil,getBookingLinkSlots,3,1,1
BulletJournal,com.bulletjournal.util,BookingUtil,updateBookingLinkSlot,11,2,2
BulletJournal,com.bulletjournal.util,BookingUtil,toString,6,2,1
BulletJournal,com.bulletjournal.util,BookingUtil,toList,3,1,1
